원본질문데이터	원본정답데이터	작업자질문데이터	작업자정답데이터	VALUE	property	resource	보기	작업데이터	OX작업번호	OX작업
킹덤 오브 헤븐'의 감독은(는) 누구인가요?	킹덤 오브 헤븐'의 감독은(는) 리들리 스콧(이)에요.	킹덤 오브 헤븐의 감독을 맡은 사람은 누구인가요?	킹덤 오브 헤븐은 리들리 스콧이 감독을 맡았어요.	리들리 스콧	감독	킹덤 오브 헤븐	킹덤 오브 헤븐'의 감독은(는) 리들리 스콧(이)에요.	킹덤 오브 헤븐은 리들리 스콧이 감독을 맡았어요.	200	"X,O,O"
미스터 콘돔'의 감독은(는) 누구인가요?	미스터 콘돔'의 감독은(는) 양윤호(이)에요.	누가 미스터 콘돔의 감독을 맡았나요?	양윤호가 미스터 콘돔을 감독했어요.	양윤호	감독	미스터 콘돔	미스터 콘돔'의 감독은(는) 양윤호(이)에요.	양윤호가 미스터 콘돔을 감독했어요.	402	"O,O,O"
오늘밤은 참으세요'의 감독은(는) 누구인가요?	오늘밤은 참으세요'의 감독은(는) 박종호 (영화 감독)(이)에요.	오늘밤은 참으세요는 누가 만들었나요?	박종호 영화감독이 오늘밤은 참으세요를 연출했어요.	박종호 (영화 감독)	감독	오늘밤은 참으세요	오늘밤은 참으세요'의 감독은(는) 누구인가요?	오늘밤은 참으세요는 누가 만들었나요?	275	"O,A,A"
할아버지는 멋쟁이'의 감독은(는) 누구인가요?	할아버지는 멋쟁이'의 감독은(는) 김강윤(이)에요.	할아버지는 멋쟁이의 감독을 알려주세요.	할아버지는 멋쟁이는 김강윤이라는 사람이 감독이에요.	김강윤	감독	할아버지는 멋쟁이	할아버지는 멋쟁이'의 감독은(는) 누구인가요?	할아버지는 멋쟁이의 감독을 알려주세요.	43	"O,A,O"
걸스카우트 (영화)'의 감독은(는) 누구인가요?	걸스카우트 (영화)'의 감독은(는) 김상만(이)에요.	걸스카우트 영화는 누가 만들었나요?	걸스카우트 영화를 만든 사람은 김상만이에요.	김상만	감독	걸스카우트 (영화)	걸스카우트 (영화)'의 감독은(는) 누구인가요?	걸스카우트 영화는 누가 만들었나요?	77	"O,O,O"
바시르와 왈츠를'의 감독은(는) 누구인가요?	바시르와 왈츠를'의 감독은(는) 아리 폴만(이)에요.	영화 바르시와 왈츠를의 감독이 누구인지 아시면 알려주세요	영화 바시르와 왈츠를의 감독은 아리 폴만이라네요	아리 폴만	감독	바시르와 왈츠를	바시르와 왈츠를'의 감독은(는) 누구인가요?	영화 바르시와 왈츠를의 감독이 누구인지 아시면 알려주세요	383	"O,A,A"
여기보다 어딘가에 (2008년 영화)'의 감독은(는) 누구인가요?	여기보다 어딘가에 (2008년 영화)'의 감독은(는) 김상만(이)에요.	2008년 영화 여기보다 어딘가에를 만든 사람은 누구인가요?	2008년 영화 여기보다 어딘가에를 만든 사람은 김상만이에요.	김상만	감독	여기보다 어딘가에 (2008년 영화)	여기보다 어딘가에 (2008년 영화)'의 감독은(는) 김상만(이)에요.	2008년 영화 여기보다 어딘가에를 만든 사람은 김상만이에요.	84	"O,O,O"
복수는 내게 맡겨라'의 감독은(는) 누구인가요?	복수는 내게 맡겨라'의 감독은(는) 설태호(이)에요.	복수는 내게 맡겨라 라는 영화는 누가 만들었나요?	설태호 감독이 복수는 내게 맡겨라를 만들었어요.	설태호	감독	복수는 내게 맡겨라	복수는 내게 맡겨라'의 감독은(는) 설태호(이)에요.	설태호 감독이 복수는 내게 맡겨라를 만들었어요.	322	"O,O,O"
레나 (영화)'의 감독은(는) 누구인가요?	레나 (영화)'의 감독은(는) 김도원(이)에요.	레나(영화)를 총 감독한 사람은 누구인가요?	레나(영화)을 총 감독한 사람은 김도원이에요.	김도원	감독	레나 (영화)	레나 (영화)'의 감독은(는) 누구인가요?	레나(영화)를 총 감독한 사람은 누구인가요?	61	"O,O,O"
돌아와요 부산항애'의 감독은(는) 누구인가요?	돌아와요 부산항애'의 감독은(는) 박희준(이)에요.	돌아와요 부산항애를 감독한 사람은 누구인가요?	돌아와요 부산항애를 감독한 사람은 박희준이예요.	박희준	감독	돌아와요 부산항애	돌아와요 부산항애'의 감독은(는) 누구인가요?	돌아와요 부산항애를 감독한 사람은 누구인가요?	301	"O,O,O"
와일드 카드 (2003년 영화)'의 감독은(는) 누구인가요?	와일드 카드 (2003년 영화)'의 감독은(는) 김유진 (배우)(이)에요.	누가 와일드 카드(2003년 영화)를 총 지휘했나요?	김유진(배우)이 와일드 카드(2003년 영화)를 총 지휘했어요.	김유진 (배우)	감독	와일드 카드 (2003년 영화)	와일드 카드 (2003년 영화)'의 감독은(는) 김유진 (배우)(이)에요.	김유진(배우)이 와일드 카드(2003년 영화)를 총 지휘했어요.	98	"O,X,O"
'까시'의 감독은(는) 누구인가요?	'까시'의 감독은(는) 이영민(이)에요.	'까시'를 감독한 사람은 누구인가요?	'까시'를 감독한 사람은 이영민이예요.	이영민	감독	까시	'까시'의 감독은(는) 누구인가요?	'까시'를 감독한 사람은 누구인가요?	515	"O,O,O"
"로봇, 소리'의 감독은(는) 누구인가요?"	"로봇, 소리'의 감독은(는) 이호재(이)에요."	"로봇,소리의 제작 과정을 책임진 사람은 누구인가요?"	"로봇,소리의 제작과정을 책임진 사람은 이호재에요."	이호재	감독	"로봇, 소리"	"로봇, 소리'의 감독은(는) 이호재(이)에요."	"로봇,소리의 제작과정을 책임진 사람은 이호재에요."	576	"O,O,X"
처녀의 성'의 감독은(는) 누구인가요?	처녀의 성'의 감독은(는) 문여송(이)에요.	처녀의 성의 제작자는 누구인가요?	처녀의 성의 제작자는 문여송이에요.	문여송	감독	처녀의 성	처녀의 성'의 감독은(는) 문여송(이)에요.	처녀의 성의 제작자는 문여송이에요.	222	"O,O,X"
'낙타(들)'의 감독은(는) 누구인가요?	'낙타(들)'의 감독은(는) 박기용(이)에요.	'낙타(들)'은 누가 총 지휘했나요?	박기용이 '낙타(들)'의 감독을 맡았어요.	박기용	감독	낙타(들)	'낙타(들)'의 감독은(는) 누구인가요?	'낙타(들)'은 누가 총 지휘했나요?	245	"O,O,X"
아홉살 인생 (영화)'의 감독은(는) 누구인가요?	아홉살 인생 (영화)'의 감독은(는) 윤인호(이)에요.	누가 아홉살 인생 (영화)의 감독을 맡았나요?	아홉살 인생 (영화)의 감독을 맡은 사람은 윤인호에요.	윤인호	감독	아홉살 인생 (영화)	아홉살 인생 (영화)'의 감독은(는) 누구인가요?	누가 아홉살 인생 (영화)의 감독을 맡았나요?	459	"O,O,O"
연애소설 (영화)'의 감독은(는) 누구인가요?	연애소설 (영화)'의 감독은(는) 이한(이)에요.	연애소설이라는 영화의 감독은 누구인가요?	연애소설이라는 영화의 감독은 이한이에요.	이한	감독	연애소설 (영화)	연애소설 (영화)'의 감독은(는) 이한(이)에요.	연애소설이라는 영화의 감독은 이한이에요.	564	"O,O,O"
'NANA'의 감독은(는) 누구인가요?	NANA'의 감독은(는) 아사카 모리오(이)에요.	NANA를 찍은 감독은 누구예요?	'NANA'의 감독이 된 사람은 아사카 모리오예요.	아사카 모리오	감독	NANA	NANA'의 감독은(는) 아사카 모리오(이)에요.	'NANA'의 감독이 된 사람은 아사카 모리오예요.	386	"O,O,O"
이노센스 (애니메이션 영화)'의 감독은(는) 누구인가요?	이노센스 (애니메이션 영화)'의 감독은(는) 오시이 마모루(이)에요.	이노센스를 찍은 사람이 누구예요?	오시이 마모루가 이노센스의 감독이에요.	오시이 마모루	감독	이노센스 (애니메이션 영화)	이노센스 (애니메이션 영화)'의 감독은(는) 오시이 마모루(이)에요.	오시이 마모루가 이노센스의 감독이에요.	418	"O,O,O"
특근 (2016년 영화)'의 감독은(는) 누구인가요?	특근 (2016년 영화)'의 감독은(는) 김건(이)에요.	특근(2016년 영화)은 누구의 작품인가요?	특근(2016년 영화)은 감독 김건의 작품이에요.	김건	감독	특근 (2016년 영화)	특근 (2016년 영화)'의 감독은(는) 김건(이)에요.	특근(2016년 영화)은 감독 김건의 작품이에요.	48	"O,O,O"
'NANA'의 감독은(는) 누구인가요?	NANA'의 감독은(는) 오오타니 켄타로(이)에요.	NANA의 감독 이름은 무엇인가요?	NANA의 감독 이름은 오오타니 켄타로예요.	오오타니 켄타로	감독	NANA	NANA'의 감독은(는) 오오타니 켄타로(이)에요.	NANA의 감독 이름은 오오타니 켄타로예요.	422	"O,O,O"
석양의 10번가'의 감독은(는) 누구인가요?	석양의 10번가'의 감독은(는) 강대진(이)에요.	석양의 10번가는 누가 감독했나요?	석양의 10번가는 강대진이 감독한 작품이에요.	강대진	감독	석양의 10번가	석양의 10번가'의 감독은(는) 누구인가요?	석양의 10번가는 누가 감독했나요?	1	"O,O,O"
늙은 자전거'의 감독은(는) 누구인가요?	늙은 자전거'의 감독은(는) 문희융(이)에요.	늙은 자전거 제작자는 누구인가요?	늙은 자전거 제작자는 문희융이에요.	문희융	감독	늙은 자전거	늙은 자전거'의 감독은(는) 문희융(이)에요.	늙은 자전거 제작자는 문희융이에요.	228	"O,O,A"
레나 (영화)'의 감독은(는) 누구인가요?	레나 (영화)'의 감독은(는) 김도원(이)에요.	레나(영화)는 누구의 작품인가요?	레나(영화)는 감독 김도원의 작품이에요.	김도원	감독	레나 (영화)	레나 (영화)'의 감독은(는) 김도원(이)에요.	레나(영화)는 감독 김도원의 작품이에요.	64	"O,O,O"
비밀은 없다'의 감독은(는) 누구인가요?	비밀은 없다'의 감독은(는) 이경미(이)에요.	비밀은 없다는 누가 감독 했나요?	비밀은 없다'는 이경미 감독의 영화예요.	이경미	감독	비밀은 없다	비밀은 없다'의 감독은(는) 누구인가요?	비밀은 없다는 누가 감독 했나요?	465	"O,O,O"
아홉살 인생 (영화)'의 감독은(는) 누구인가요?	아홉살 인생 (영화)'의 감독은(는) 윤인호(이)에요.	아홉살 인생 (영화)은 누가 감독인가요?	윤인호가 아홉살 인생 (영화)의 감독이에요.	윤인호	감독	아홉살 인생 (영화)	아홉살 인생 (영화)'의 감독은(는) 누구인가요?	아홉살 인생 (영화)은 누가 감독인가요?	457	"O,O,O"
더 웹툰: 예고살인'의 감독은(는) 누구인가요?	더 웹툰: 예고살인'의 감독은(는) 김용균 (1966년)(이)에요.	더 웹툰: 예고살인'은 어느 감독의 작품인가요?	더 웹툰: 예고살인'은 김용균 (1966년)감독의 작품이라고 해요	김용균 (1966년)	감독	더 웹툰: 예고살인	더 웹툰: 예고살인'의 감독은(는) 김용균 (1966년)(이)에요.	더 웹툰: 예고살인'은 김용균 (1966년)감독의 작품이라고 해요	96	"O,O,O"
더 폰'의 감독은(는) 누구인가요?	더 폰'의 감독은(는) 김봉주(이)에요.	더 폰을 만든 사람은 누구인가요?	더 폰을 만든 사람은 김봉주 감독이에요.	김봉주	감독	더 폰	더 폰'의 감독은(는) 누구인가요?	더 폰을 만든 사람은 누구인가요?	73	"O,A,A"
'국제경찰'의 감독은(는) 누구인가요?	'국제경찰'의 감독은(는) 고영남(이)에요.	국제경찰은 누가 디렉팅했나요?	고영남이 국제경찰을 디렉팅했어요.	고영남	감독	국제경찰	'국제경찰'의 감독은(는) 누구인가요?	국제경찰은 누가 디렉팅했나요?	19	"O,O,O"
드림팀 (2012년 영화)'의 감독은(는) 누구인가요?	드림팀 (2012년 영화)'의 감독은(는) 올리비에 다한(이)에요.	누가 영화 드림팀의 감독이에요?	올리비에 다한이 드림팀의 감독이에요.	올리비에 다한	감독	드림팀 (2012년 영화)	드림팀 (2012년 영화)'의 감독은(는) 누구인가요?	누가 영화 드림팀의 감독이에요?	429	"O,O,O"
걸스카우트 (영화)'의 감독은(는) 누구인가요?	걸스카우트 (영화)'의 감독은(는) 김상만(이)에요.	걸스카우트 영화는 누가 만들었나요?	걸스카우트 영화를 만든 사람은 김상만이에요.	김상만	감독	걸스카우트 (영화)	걸스카우트 (영화)'의 감독은(는) 김상만(이)에요.	걸스카우트 영화를 만든 사람은 김상만이에요.	78	"O,O,O"
대학촌의 달빛'의 감독은(는) 누구인가요?	대학촌의 달빛'의 감독은(는) 노세한(이)에요.	대학촌의 달빛은 누가 연출했나요?	대학촌의 달빛은 노세한 연출이 만들었어요.	노세한	감독	대학촌의 달빛	대학촌의 달빛'의 감독은(는) 노세한(이)에요.	대학촌의 달빛은 노세한 연출이 만들었어요.	178	"O,O,O"
"여자, 정혜'의 감독은(는) 누구인가요?"	"여자, 정혜'의 감독은(는) 이윤기 (영화 감독)(이)에요."	여자 정혜의 감독을 누가했는지 알아요?	여자 정혜를 찍은 감독님은 이윤기 감독님인 걸로 알고 있어요	이윤기 (영화 감독)	감독	"여자, 정혜"	"여자, 정혜'의 감독은(는) 이윤기 (영화 감독)(이)에요."	여자 정혜를 찍은 감독님은 이윤기 감독님인 걸로 알고 있어요	532	"O,O,A"
지옥화 (2014년 영화)'의 감독은(는) 누구인가요?	지옥화 (2014년 영화)'의 감독은(는) 이상우 (영화 감독)(이)에요.	지옥화를 만들고 지휘한 사람은 누구인가요?	지옥화는 이상우가 지휘해서 만들었어요.	이상우 (영화 감독)	감독	지옥화 (2014년 영화)	지옥화 (2014년 영화)'의 감독은(는) 누구인가요?	지옥화를 만들고 지휘한 사람은 누구인가요?	505	"O,O,X"
땡삐 (영화)'의 감독은(는) 누구인가요?	땡삐 (영화)'의 감독은(는) 이운철(이)에요.	땡삐 (영화)의 감독은 어떻게 되요?	이운철은 땡삐 (영화)의 감독이예요.	이운철	감독	땡삐 (영화)	땡삐 (영화)'의 감독은(는) 누구인가요?	땡삐 (영화)의 감독은 어떻게 되요?	519	"O,O,O"
천 번을 불러도'의 감독은(는) 누구인가요?	천 번을 불러도'의 감독은(는) 신성섭(이)에요.	천 번을 불러도'를 만든사람은 누구인가요?	신성섭감독은 천 번을 불러도'을 만들었어요	신성섭	감독	천 번을 불러도	천 번을 불러도'의 감독은(는) 누구인가요?	천 번을 불러도'를 만든사람은 누구인가요?	339	"O,O,O"
카멜레온의 시'의 감독은(는) 누구인가요?	카멜레온의 시'의 감독은(는) 노세한(이)에요.	카멜레온의 시'는 누가 감독했나요?	노세한이 카멜레온의 시'의 감독이에요	노세한	감독	카멜레온의 시	카멜레온의 시'의 감독은(는) 누구인가요?	카멜레온의 시'는 누가 감독했나요?	181	"O,O,O"
태양을 훔친 여자'의 감독은(는) 누구인가요?	태양을 훔친 여자'의 감독은(는) 이원세(이)에요.	태양을 훔친 여자를 지휘해서 만든 사람은 누구인가요?	태양을 훔친 여자는 이원세가 지휘해서 만들었어요.	이원세	감독	태양을 훔친 여자	태양을 훔친 여자'의 감독은(는) 누구인가요?	태양을 훔친 여자를 지휘해서 만든 사람은 누구인가요?	525	"O,O,X"
