원본질문데이터	원본정답데이터	작업자질문데이터	작업자정답데이터	VALUE	property	resource	초기작업번호	보기	작업데이터	OX작업번호	OX작업
'걸걸중상'의 최종계급은(는) 무엇인가요?	'걸걸중상'의 최종계급은(는) 장군(이)에요.	걸걸중상의 최종계급은 무엇이예요?	걸걸중상의 최종계금은 장군이예요.	장군	최종계급	걸걸중상	129	'걸걸중상'의 최종계급은(는) 장군(이)에요.	걸걸중상의 최종계금은 장군이예요.	1014	"O,X,O"
단_셰흐트만'은(는) 어디 소속인가요?	단_셰흐트만' 미국_국립표준기술연구소 소속이에요.	단 세흐트만은 무슨 연구소에 소속되어 있나요?	미국 국립표준기술연구소에 소속되어 있어요.	미국_국립표준기술연구소	소속	단_셰흐트만	289	단_셰흐트만'은(는) 어디 소속인가요?	단 세흐트만은 무슨 연구소에 소속되어 있나요?	2279	"A,O,O"
강남대학교'은 어느 도시에 있나요?	강남대학교'은(는) 용인시에 있어요.	강남대학교가 있는 도시는 어디인가요?	강남대학교가 있는 곳은 용인시예요.	용인시	도시	강남대학교	352	강남대학교'은(는) 용인시에 있어요.	강남대학교가 있는 곳은 용인시예요.	2784	"O,O,O"
'나를_찾아줘'의 관객수은(는) 얼마나 되나요?	'나를_찾아줘'의 관객수은(는) 1764233명(이)에요.	나를 찾아줘라는 영화의 관람객수는 어느정도나 되나요?	관람객은 1764233명이에요.	1764233명	관객수	나를_찾아줘	12	'나를_찾아줘'의 관객수은(는) 얼마나 되나요?	나를 찾아줘라는 영화의 관람객수는 어느정도나 되나요?	95	"O,O,O"
'강문봉'의 참가한 전투은(는) 무엇인가요?	'강문봉'의 참가한 전투은(는) 한국_전쟁(이)에요.	'강분봉'이 참가한 전투는 어떤 전투인가요?	'강문봉'이 참가한 전투는 한국전쟁이에요.	한국_전쟁	참가한 전투	강문봉	113	'강문봉'의 참가한 전투은(는) 무엇인가요?	'강분봉'이 참가한 전투는 어떤 전투인가요?	899	"O,O,O"
'레이먼드_데이비스'의 직업은(는) 무엇인가요?	'레이먼드_데이비스'의 직업은(는) 물리학자(이)에요.	레이먼드_데이비스가 하는 일이 무엇인가요?	레이먼드_데이비스는 물리학을 연구해요.	물리학자	직업	레이먼드_데이비스	317	'레이먼드_데이비스'의 직업은(는) 무엇인가요?	레이먼드_데이비스가 하는 일이 무엇인가요?	2507	"O,O,A"
'1998년_동계_올림픽'의 참가선수은(는) 얼마나 되나요?	'1998년_동계_올림픽'의 참가선수은(는) 2176명(이)에요.	1998년 동계 올림픽에 참가한 선수는 몇 명인가요?	1998년 동계 올림픽에 참가한 선수는 2176명이에요.	2176명	참가선수	1998년_동계_올림픽	188	'1998년_동계_올림픽'의 참가선수은(는) 얼마나 되나요?	1998년 동계 올림픽에 참가한 선수는 몇 명인가요?	1479	"O,O,O"
개똥이'은(는) 어느 나라 영화인가요?	개똥이'은(는) 대한민국의 영화예요.	개똥이는 어느나라 영화예요?	개똥이는 대한민국의 영화예요.	대한민국	국가	개똥이	29	개똥이'은(는) 대한민국의 영화예요.	개똥이는 대한민국의 영화예요.	230	"O,O,O"
'라플라타_강'의 하구은(는) 어디인가요?	'라플라타_강'의 하구은(는) 대서양(이)에요.	라플라타 강의 마지막 부분은 어디인가요?	라플라타 강의 마지막 부분은 대서양이에요.	대서양	하구	라플라타_강	279	'라플라타_강'의 하구은(는) 대서양(이)에요.	라플라타 강의 마지막 부분은 대서양이에요.	2198	"O,O,O"
'슈퍼스타_감사용'의 관객수은(는) 얼마나 되나요?	'슈퍼스타_감사용'의 관객수은(는) 834706명(이)에요.	슈퍼스타 감사용을 총 몇 명이 관람했나요?	슈퍼스타 감사용을 총 834706명이 관람했어요.	834706명	관객수	슈퍼스타_감사용	17	'슈퍼스타_감사용'의 관객수은(는) 834706명(이)에요.	슈퍼스타 감사용을 총 834706명이 관람했어요.	136	"O,O,O"
'겐다_미노루'은(는) 수상내역(으)로 무엇이 있나요?	겐다_미노루'은(는) 수상내역(으)로 서보장이(가) 있어요.	겐다 미노루는 어떤 종류의 상을 수상했나요?	겐다 미노루는 서보장이라는 상을 받았어요.	서보장	수상내역	겐다_미노루	93	겐다_미노루'은(는) 수상내역(으)로 서보장이(가) 있어요.	겐다 미노루는 서보장이라는 상을 받았어요.	744	"O,O,O"
'드네프르_강'의 길이은(는) 얼마인가요?	'드네프르_강'의 길이은(는) 2290km(이)에요.	드네프르 강은 몇 km인가요?	드네프르 강은 2290km에요.	2290km	길이	드네프르_강	247	'드네프르_강'의 길이은(는) 2290km(이)에요.	드네프르 강은 2290km에요.	1946	"O,O,O"
모기윤'의 출생지는 어디인가요?	모기윤'의 출생지는 강원도_(북)(이)에요.	모기윤이라는 사람의 탄생지는 어느 지역인가요?	그의 탄생지는 강원도에요.	강원도_(북)	출생지	모기윤	442	모기윤'의 출생지는 어디인가요?	모기윤이라는 사람의 탄생지는 어느 지역인가요?	3491	"O,A,O"
'1996년_하계_올림픽'의 참가국은(는) 얼마나 되나요?	'1996년_하계_올림픽'의 참가국은(는) 197개국(이)에요.	1996년 하계 올림픽에 참가한 나라는 얼마인가요?	197개국은 1996년 하계 올림픽의 참가국이예요.	197개국	참가국	1996년_하계_올림픽	173	'1996년_하계_올림픽'의 참가국은(는) 197개국(이)에요.	197개국은 1996년 하계 올림픽의 참가국이예요.	1364	"X,O,O"
다이지타오'의 생일은(는) 언제인가요?	'다이지타오'의 생일은(는) 1891-01-06(이)에요.	'다이지타오'가 출생한 때는 언제인가요?	'다이지타오'의 출생일은 1891-01-06이에요	1891-01-06	생일	다이지타오	88	다이지타오'의 생일은(는) 언제인가요?	'다이지타오'가 출생한 때는 언제인가요?	701	"O,O,O"
'극장판_도라에몽:_신_진구의_우주개척사'의 주연은(는) 누구인가요?	'극장판_도라에몽:_신_진구의_우주개척사'의 주연은(는) 미즈타_와사비(이)에요.	극장판_도라에몽:_신_진구의_우주개척사에 나오는 주인공은 누구인가요?	극장판_도라에몽:_신_진구의_우주개척사에 나오는 주인공은 미즈타_와사비예요.	미즈타_와사비	주연	극장판_도라에몽:_신_진구의_우주개척사	53	'극장판_도라에몽:_신_진구의_우주개척사'의 주연은(는) 미즈타_와사비(이)에요.	극장판_도라에몽:_신_진구의_우주개척사에 나오는 주인공은 미즈타_와사비예요.	422	"O,O,O"
'니즈냐야퉁구스카_강'의 발원국은(는) 어디인가요?	'니즈냐야퉁구스카_강'의 발원국은(는) 러시아(이)에요.	니즈냐야퉁구스카 강이 흐르기 시작한 나라는 어디인가요?	니즈냐야퉁구스카 강이 흐르기 시작한 나라는 러시아에요.	러시아	발원국	니즈냐야퉁구스카_강	256	'니즈냐야퉁구스카_강'의 발원국은(는) 러시아(이)에요.	니즈냐야퉁구스카 강이 흐르기 시작한 나라는 러시아에요.	2022	"O,O,O"
강남대학교'의 설립 시기는 언제인가요?	강남대학교'의 설립 시기는 1946년이에요.	강남대학교는 언제 세워졌나요?	1946년도에 강남대학교가 설립되었어요.	1946	설립 시기	강남대학교	372	강남대학교'의 설립 시기는 언제인가요?	강남대학교는 언제 세워졌나요?	2937	"O,O,O"
경인교육대학교'은 어느 도시에 있나요?	경인교육대학교'은(는) 인천광역시에 있어요.	경인교육대학교가 있는 도시는 어디인가요?	경인교육대학교가 있는 도시는 인천광역시에요.	인천광역시	도시	경인교육대학교	359	경인교육대학교'은(는) 인천광역시에 있어요.	경인교육대학교가 있는 도시는 인천광역시에요.	2838	"O,O,O"
'뉴욕'의 인구은(는) 얼마나 되나요?	'뉴욕'의 인구은(는) 8491079명(이)에요.	얼마나 많은 사람들이 '뉴욕'에 살고 있나요?	8491079명이 '뉴욕'에 살고 있어요.	8491079명	인구	뉴욕	226	'뉴욕'의 인구은(는) 얼마나 되나요?	얼마나 많은 사람들이 '뉴욕'에 살고 있나요?	1783	"O,O,O"
'NANA'의 개봉 시기은(는) 언제인가요?	'NANA'의 개봉 시기은(는) 2005년(이)에요.	NANA는 언제 개봉했나요?	NANA는 2005년에 개봉했어요.	2005년	개봉 시기	NANA	5	'NANA'의 개봉 시기은(는) 2005년(이)에요.	NANA는 2005년에 개봉했어요.	38	"O,O,O"
강감찬'의 출생지은(는) 어디인가요?	'강감찬'의 출생지은(는) 대한민국(이)에요.	강감찬은 어디에서 출생했나요?	강감찬은 대한민국에서 출생했어요.	대한민국	출생지	강감찬	137	'강감찬'의 출생지은(는) 대한민국(이)에요.	강감찬은 대한민국에서 출생했어요.	1074	"O,O,O"
'곽영주'의 직업은(는) 무엇인가요?	'곽영주'의 직업은(는) 공무원(이)에요.	'곽영주'가 직업으로 한 일은 무엇인가요?	'곽영주'는 공무원이었어요.	공무원	직업	곽영주	105	'곽영주'의 직업은(는) 공무원(이)에요.	'곽영주'는 공무원이었어요.	840	"A,O,A"
'귄터_랄'의 직업은(는) 무엇인가요?	'귄터_랄'의 직업은(는) 공군총감(이)에요.	귄터 랄이 직업으로 삼고 있는 일은 무엇인가요?	귄터 랄이 직업으로 삼고 있는 것은 공군총감이에요.	공군총감	직업	귄터_랄	109	'귄터_랄'의 직업은(는) 무엇인가요?	귄터 랄이 직업으로 삼고 있는 일은 무엇인가요?	871	"O,O,O"
'무라카미_하루키'의 유명한 작품은(는) 무엇인가요?	'무라카미_하루키'의 유명한 작품은(는) 1(이)에요.	무라카미_하루키는 어떤 작품으로 유명한가요?	무라카미_하루키는 1이라는 작품으로 유명해요.	1	유명한 작품	무라카미_하루키	415	'무라카미_하루키'의 유명한 작품은(는) 무엇인가요?	무라카미_하루키는 어떤 작품으로 유명한가요?	3275	"O,O,O"
녹스빌'은(는) 어느 나라에 있나요?	녹스빌'은(는) 미국에 있어요.	녹스빌이 위치한 나라는 어디인가요?	미국에 녹스빌이 있어요.	미국	국가	녹스빌	194	녹스빌'은(는) 어느 나라에 있나요?	녹스빌이 위치한 나라는 어디인가요?	1525	"O,O,O"
가족시네마_(2012년_영화)'은(는) 어느 나라 영화인가요?	가족시네마_(2012년_영화)'은(는) 대한민국의 영화예요.	어떤 나라에 가족시네마라는 영화가 있나요?	대한민국에는 가족시네마라는 영화가 있어요.	대한민국	국가	가족시네마_(2012년_영화)	25	가족시네마_(2012년_영화)'은(는) 어느 나라 영화인가요?	어떤 나라에 가족시네마라는 영화가 있나요?	199	"X,O,O"
고든_무어'의 출생지는 어디인가요?	고든_무어'의 출생지는 샌프란시스코(이)에요.	고든 무어의 출생지는 어대예요?	고든 무어의 출생지는 샌프란시스코예요.	샌프란시스코	출생지	고든_무어	329	고든_무어'의 출생지는 어디인가요?	고든 무어의 출생지는 어대예요?	2593	"O,O,X"
'3일낮_3일밤'의 장르은(는) 무엇인가요?	'3일낮_3일밤'의 장르은(는) 로맨스(이)에요.	3일낮 3일밤 영화가 속한 장르는 무엇일까요?	"3일낮 3일밤 영화가 속한 장르는 로맨스에요,"	로맨스	장르	3일낮_3일밤	41	'3일낮_3일밤'의 장르은(는) 로맨스(이)에요.	"3일낮 3일밤 영화가 속한 장르는 로맨스에요,"	328	"O,O,O"
'7급_공무원_(영화)'의 등급은(는) 무엇인가요?	7급_공무원_(영화)'의 등급은(는) 12세 이용가(이)에요.	7급 공무원은 몇 살부터 볼 수 있나요?	7급 공무원은 12세부터 볼 수 있어요.	12세 이용가	등급	7급_공무원_(영화)	33	7급_공무원_(영화)'의 등급은(는) 12세 이용가(이)에요.	7급 공무원은 12세부터 볼 수 있어요.	262	"A,O,O"
강남대학교'의 설립 시기는 언제인가요?	강남대학교'의 설립 시기는 1946년이에요.	강남대학교는 언제 세워졌나요?	1946년도에 강남대학교가 설립되었어요.	1946	설립 시기	강남대학교	372	강남대학교'의 설립 시기는 1946년이에요.	1946년도에 강남대학교가 설립되었어요.	2938	"O,O,O"
'나일_강'의 발원지은(는) 어디인가요?	'나일_강'의 발원지은(는) 백나일 강(이)에요.	'나일 강'이 시작되는 곳은 어디인가요?	'나일 강'이 발원하는 곳은 백나일 강이에요	백나일 강	발원지	나일_강	263	'나일_강'의 발원지은(는) 어디인가요?	'나일 강'이 시작되는 곳은 어디인가요?	2079	"O,O,O"
'김영옥_(군인)'은(는) 수상내역(으)로 무엇이 있나요?	김영옥_(군인)'은(는) 수상내역(으)로 레종도뇌르_훈장이(가) 있어요.	김영옥 군인은 수상내역으로 무엇이있어요?	김영옥 군인는 수상내역이 레종도뇌르 훈장이예요.	레종도뇌르_훈장	수상내역	김영옥_(군인)	97	김영옥_(군인)'은(는) 수상내역(으)로 레종도뇌르_훈장이(가) 있어요.	김영옥 군인는 수상내역이 레종도뇌르 훈장이예요.	774	"A,O,O"
'2016년_동계_청소년_올림픽'의 모토은(는) 무엇인가요?	'2016년_동계_청소년_올림픽'의 모토은(는) 나아가자. 내일을 만들자.(이)에요.	2016년 동계 청소년 올림픽의 슬로건은 무엇인가요?	"2016년 동계 청소년 올림픽은 나아가자, 내일을 만들자 라는 모토를 가지고 있어요."	나아가자. 내일을 만들자.	모토	2016년_동계_청소년_올림픽	162	'2016년_동계_청소년_올림픽'의 모토은(는) 무엇인가요?	2016년 동계 청소년 올림픽의 슬로건은 무엇인가요?	1273	"O,O,O"
'강원대학교'의 마스코트은(는) 무엇인가요?	'강원대학교'의 마스코트은(는) 잣나무(이)에요.	'강원대학교'의 마스코트에는 무엇이 있나요?	'강원대학교'의 마스코트에는 잣나무가 있어요	잣나무	마스코트	강원대학교	367	'강원대학교'의 마스코트은(는) 무엇인가요?	'강원대학교'의 마스코트에는 무엇이 있나요?	2899	"A,O,O"
나일_강'은(는) 어디에 있나요?	나일_강'은(는) 케냐에 있어요.	나일 강은 어디에 있어요?	케냐에 나일강이 있어요.	케냐	국가	나일_강	240	나일_강'은(는) 케냐에 있어요.	케냐에 나일강이 있어요.	1890	"O,O,O"
강문봉'의 생일은(는) 언제인가요?	'강문봉'의 생일은(는) 1923-10-26(이)에요.	강문봉이 태어난 날은 언제인가요?	강문봉이 태어난 날은 1923-10-26이에요.	1923.10.26	생일	강문봉	82	강문봉'의 생일은(는) 언제인가요?	강문봉이 태어난 날은 언제인가요?	655	"O,O,O"
